trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display,pnl_value_rank
141,WDC,2026-01-28,2026-05-11,263.5817372131348,488.7854837799073,16016,4225746.628308771,7820559.919910776,3594813.2916020053,0.8506930509084312,Leader rotation,+85.07%,1.0
142,MU,2026-05-11,2026-06-05,793.3764704589844,943.9278244018556,9847,7820190.482714227,9285562.429598186,1465371.9468839588,0.18738315263841998,Leader rotation,+18.74%,2.0
134,PLTR,2025-04-28,2025-08-26,113.83688877868651,155.31230438995362,21967,2503155.590737208,3408333.6451435774,905178.0544063696,0.36161477846440393,Supertrend down,+36.16%,3.0
130,TSLA,2024-10-28,2025-01-08,270.135,392.7535372009278,5653,1528600.228155,2218015.510051048,689415.281896048,0.45101084586920615,Supertrend down,+45.10%,4.0
132,PLTR,2025-01-24,2025-02-05,79.08952805328369,101.72910877990724,28686,2271030.963938232,2915283.013245959,644252.0493077268,0.2836826355685256,Leader rotation,+28.37%,5.0
111,NVDA,2023-03-22,2023-06-13,26.438211736679076,40.16590782356263,45345,1200039.5519109124,1819501.7671691878,619462.2152582754,0.5162014987521533,Leader rotation,+51.62%,6.0
124,NVDA,2024-05-07,2024-07-01,91.14354857254028,123.40826622009278,15914,1451908.890415389,1961955.22947793,510046.339062541,0.3512936262251396,Supertrend down,+35.13%,7.0
139,AMD,2025-10-09,2025-10-29,236.41815305328367,264.05790744018555,15620,3696544.4022429828,4120459.9297014824,423915.52745849965,0.11467886797228166,Leader rotation,+11.47%,8.0
93,TSLA,2020-11-19,2021-02-16,164.082,272.53032316589355,3665,601961.89053,997824.810768597,395862.92023859697,0.6576212322844188,Leader rotation,+65.76%,9.0
108,PDD,2022-11-14,2023-01-17,67.62379133605957,94.46274713516236,13297,900092.7469489796,1254815.0775075976,354722.33055861806,0.39409531046773894,Leader rotation,+39.41%,10.0
